day,phase,race_day,injury_flag,miles,load,sleep_hours,resting_hr,hrv,overnight_hrv
481,light_rebuild,0,0,0.7196652077829481,12.771231367256842,7.50893191008692,50.30745523770387,76.32083665877308,74.00449112052192
482,light_rebuild,0,0,4.977327032852373,132.35927556881686,7.5199640747459355,48.79416080970926,67.48032451091112,73.34768083215708
483,light_rebuild,0,0,6.786645561357265,174.5040047090483,7.556309969545891,50.01301055464212,64.85210365552433,71.76609326149999
484,steady_rebuild,0,0,4.268424038021602,113.0006019497357,7.664339136984281,50.47801145483713,70.18156290418003,66.10438434397076
485,steady_rebuild,0,0,5.413661127384853,139.9787221128051,7.483183758761629,49.60066329833011,66.01342375593981,65.48335570316726
486,steady_rebuild,0,0,5.170385540592584,131.46248678413153,7.1745822068291885,51.823430054887886,66.75555614915038,65.50291284112075
487,steady_rebuild,0,0,3.532594875759443,83.75559209015175,6.766924847029154,51.0934265911618,62.002864187107896,61.94023468850647
488,steady_rebuild,0,0,0.8181736410859086,21.337215111083445,6.271277276170349,52.33978961607232,59.74085068954816,57.89866598361857
489,steady_rebuild,0,0,5.654106429585041,148.24098961885278,7.467678376135597,51.77859066694814,66.67703606615534,61.51062206447625
490,steady_rebuild,0,0,7.466359147556594,193.4085835312651,7.777866321617562,50.67057045017719,71.03570990610766,64.83200113364656
491,steady_rebuild,0,0,5.082140337480197,119.62814261274461,7.22218147266135,51.85889654090038,64.17055965417859,61.71705814059202
492,steady_rebuild,0,0,4.3571888516647945,112.2576076656059,8.056602218122395,50.568388135836734,66.45756159734533,65.40419429826963
493,steady_rebuild,0,0,5.746753591699944,145.27397819178387,7.132859295922266,50.4595410371847,63.851711649587514,65.81288846184412
494,steady_rebuild,0,0,4.586382781889835,119.31036226053347,7.9307039744514505,50.86292805269454,62.62240965768573,63.46601170160825
495,steady_rebuild,0,0,1.1921864041351293,35.55140691293736,8.113265540968078,50.57501336757903,65.5484862985764,62.554421290922285
496,steady_rebuild,0,0,5.57738682167557,141.57809478642557,7.3612876660587965,51.877690703439825,64.56757918511768,61.36311572547546
497,steady_rebuild,0,0,8.916384327152528,228.66543259381905,7.617696973441615,51.70510243182749,63.905873965793184,62.73327887990027
498,steady_rebuild,0,0,4.86152828716329,123.95250852326467,6.885630287929796,52.149300620015794,63.5544940239579,60.87101137472686
499,steady_rebuild,0,0,5.8074746638291215,144.70868755948163,7.661070528855581,52.332034364500046,65.54839593370372,60.251490210567944
500,steady_rebuild,0,0,5.703090662170387,141.13178520994018,7.665552728170589,50.939470200556045,69.46932607672882,62.27995107567717
501,steady_rebuild,0,0,5.0801642651608985,127.77948000906773,6.298042772426391,52.68745721419005,65.19076575472776,60.67703999053654
502,steady_rebuild,0,0,1.5211472525994594,31.09371556695904,7.629110410265603,50.97458338046827,66.52258730168103,60.836477523633704
503,steady_rebuild,0,0,6.42773697033386,156.85788899181537,7.371423688113708,52.45465258973124,67.15379524653237,60.96714366926092
504,steady_rebuild,0,0,8.965754911468204,228.69940077679797,7.715055168254702,52.785044792372524,63.59828502414647,63.80397587172207
505,steady_rebuild,0,0,5.361268841226523,137.65132252570513,7.508003028614679,52.04588339759158,61.17576861368093,62.083746717289664
506,steady_rebuild,0,0,7.647855138103153,192.05855023330471,7.706948734816331,52.302320586628284,72.55842585673189,61.765902348221466
507,steady_rebuild,0,0,6.97891017191941,168.1900365177152,7.256169699257241,52.6503890026538,61.70680449119011,60.59058281596279
508,steady_rebuild,0,0,5.009482500185074,121.82303869946368,7.726593172627993,52.29199592759928,59.678162694045774,60.6916370528992
509,steady_rebuild,0,0,1.293533820552708,35.13168825956044,7.585190766560303,51.288284223996754,64.15548802699851,61.814100834051814
510,steady_rebuild,0,0,8.123134342757893,209.2957425263553,7.369666924424046,52.28739011161874,57.64079009180094,59.421982203934434
